Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2/24/2016,540.1,542.25,530.5,532.55,533.95,972998,5205.29
2/23/2016,542.15,543.7,535.6,540,539.95,944414,5090.18
2/22/2016,547.2,548.1,536.5,540.05,542.75,847687,4589.32
2/19/2016,541.4,549.5,538.15,549,547.35,1081601,5879.7
2/18/2016,528.1,543.8,528.1,540,541.3,888820,4771.38
2/17/2016,523,529.95,517.25,526.9,526.95,1080696,5646.24
2/16/2016,527,530.5,521.15,526.6,526.6,691104,3633.34
2/15/2016,522.9,527.6,518.15,525.45,525.75,977686,5109.95
2/12/2016,524.8,529.45,508.25,520,517.3,1799742,9323.04
2/11/2016,531.2,532.3,513.1,519,517.2,988027,5152.17
2/10/2016,536.25,536.65,528,532.95,531.2,967008,5131.49
2/9/2016,539.9,539.9,534,535.25,536.25,800236,4291.5
2/8/2016,558.05,560.2,543.3,544,545,822141,4541.78
2/5/2016,560,565.8,555.4,558.65,557.9,1076643,6027.87
2/4/2016,560.3,561.65,553.7,560,559.95,1051872,5885.48
2/3/2016,566.5,566.5,554.05,558.5,557.8,602527,3369.3
2/2/2016,570.1,571.55,564.2,568.1,567.25,1285343,7310.51
2/1/2016,565.6,573.9,557.3,565.25,568.15,1506973,8571.29
1/29/2016,548.6,565.7,548.6,563.8,562.8,1450233,8087.7
1/28/2016,553.2,553.7,544.4,549,547.25,1211162,6623.18
1/27/2016,550,554.95,543.55,554.75,552.55,2092598,11534.53
1/25/2016,547.9,549.8,543.8,547,547.05,795530,4349.65
1/22/2016,555.7,555.7,547.1,550.6,550.1,833487,4586.05
1/21/2016,541.55,555,541.55,550.1,550.8,1743800,9578.36
1/20/2016,539.05,551.9,533.2,542,542.55,1169646,6342.86
1/19/2016,548,552,538,542.6,542,957428,5195.54
1/18/2016,537,550.8,530.75,548.6,547.15,1693486,9200.76
1/15/2016,546.6,548.85,537,544,543.1,625158,3387.6
